,name,category,state_abbrv,county_uid,city_uid,in_flow,out_flow,flow,pretty_category,lcc,color,x,y
f5547576-c3b9-4e9e-82f7-44f17f6046e5,ALCONDA OWSLEY FOUNDATION,Private-ish,NY,C-47-36,NEW YORK-0-36,0.0,200.0,200.0,Private-ish,1,#668DE5,52.22787016848268,175.36155495031824
15e79975-3026-47ca-94dd-5c87f38d62e5,COHEN FAMILY FOUNDATION INC,Private-ish,NY,C-91-36,SARATOGA SPRINGS-91-36,0.0,5000.0,5000.0,Private-ish,1,#668DE5,64.678375794694,70.62002185710287
8294b160-7fd8-47ed-a5ff-cb51880083f4,THE JEANNE SORENSENSIEGEL FOUNDATION INC,Private-ish,NY,C-47-36,NEW YORK-0-36,0.0,365.0,365.0,Private-ish,1,#668DE5,32.701930797997335,157.30770768940715
2e6fa5ff-fc5e-4064-b50c-2c0b11607e6e,MAURICE R  CORINNE P GREENBERG FOUNDATION,Private-ish,NY,C-47-36,NEW YORK-0-36,0.0,1000.0,1000.0,Private-ish,1,#668DE5,70.04678993982071,140.85233886507933
e122c478-2368-46f6-bff0-425ccef0d809,COP SHOT INC,Police Nonprofits,NY,C-5-36,NEW YORK-0-36,0.0,0.0,0.0,Private-ish,1,#668DE5,62.72189423042136,137.31101046795803
e07b11af-0fba-4545-9c6b-b604f691c368,THE STEINBERG FAMILY FUND INC,Private-ish,NY,C-47-36,NEW YORK-0-36,0.0,1000.0,1000.0,Private-ish,1,#668DE5,37.360702773662275,164.45300518840938
d5aea4cc-774d-47a0-9d3e-5c22406aabb7,THE WOODS FOUNDATION,Private-ish,NY,C-47-36,NEW YORK-0-36,0.0,1000.0,1000.0,Private-ish,1,#668DE5,68.36046060500445,140.33745473302588
6ced5beb-7636-4edd-9796-160377f2d5b2,DANIEL M NEIDICH  BROOKE GARBER FOUNDATION,Private-ish,NY,C-47-36,NEW YORK-0-36,0.0,1000.0,1000.0,Private-ish,1,#668DE5,81.57884947398122,135.04385377124805
952ff90f-7393-40da-a5b6-3c8eef24d85f,VERIZON FOUNDATION,Private-ish,NJ,C-35-34,BERNARDS-35-34,0.0,110845.0,110845.0,Private-ish,1,#668DE5,89.89781764645744,105.48086687326717
e5e1d7e4-42e8-4e86-a33e-a71ab933c496,DEUTSCHE BANK AMERICAS FOUNDATION,Private-ish,NY,C-47-36,NEW YORK-0-36,0.0,75.0,75.0,Private-ish,1,#668DE5,104.6454469413251,85.94997133873804
92fa3448-67de-46d1-b3c7-b84c7945be74,THE RUSTY STAUB FOUNDATION INC,Private-ish,MA,C-9-25,PEABODY-9-25,0.0,333800.0,333800.0,Private-ish,1,#668DE5,86.3730359920859,137.4972762959257
2fa45c51-c325-4ff5-8592-3567187196cb,ANSWER THE CALL  NY POLICE AND FIRE WIDOW  CHILD FUND,Police Nonprofits,NY,C-47-36,NEW YORK-0-36,4185533.0,0.0,4185533.0,Havens,1,#F2BE57,86.59314220515151,128.4703831359148
be75fbff-eb5f-4388-a3b6-1b5f830aa9e4,THE JUDY AND MICHAEL STEINHARDT FOUNDATION,Private-ish,NY,C-47-36,NEW YORK-0-36,0.0,100.0,100.0,Private-ish,1,#668DE5,65.77571488372482,134.90423710576482
c7264c3a-3806-4831-a170-d96e430443a8,RICHARD NYE FOUNDATION,Private-ish,NY,C-47-36,NEW YORK-0-36,0.0,3000.0,3000.0,Private-ish,1,#668DE5,62.65479210923469,133.60410676299682
6c8dbebb-ed7e-4df7-a477-61b03d61f938,THE JUDY AND HOWARD BERKOWITZ FOUNDATION,Private-ish,NY,C-91-36,SARATOGA SPRINGS-91-36,0.0,8000.0,8000.0,Private-ish,1,#668DE5,72.31272046012262,162.5896722060303
